time_utc,timestamp,side,price,size,usd_volume,q_yes,q_no,exposure,locked_pnl,tx_hash,outcome
2025-12-12T22:51:36,1765579896,YES,0.19419620129234383,51.07,9.9176,956.0004140000002,1105.899986,1028.2340759999993,-72.23366199999907,0x7bb6dcb88684aa58c29533d34ca3129be9eb6e232db19a8c3a15cf7dc1d4463c,up
2025-12-12T22:51:42,1765579902,YES,0.20999995904999774,19.047618,3.999999,975.0480320000001,1105.899986,1032.2340749999992,-57.18604299999902,0x31c13453011fe60695e0953118979ad2cefd030a2e99bb40e3ee7758cf6ce602,up
2025-12-12T22:51:46,1765579906,YES,0.22,5.0,1.1,980.0480320000001,1105.899986,1033.334074999999,-53.28604299999893,0x35930db061ff6a9078174787d352605370f0411bb123610746c9018b7dfa7e95,up
2025-12-12T22:51:46,1765579906,YES,0.21,5.0,1.05,985.0480320000001,1105.899986,1034.384074999999,-49.33604299999888,0x2d32ae195d75532163e3300038114ef06e0a60dc8137efdab62a40fdde767bcb,up
2025-12-12T22:51:46,1765579906,YES,0.21,5.0,1.05,990.0480320000001,1105.899986,1035.434074999999,-45.386042999998836,0x4f4c2f5ff77e56a5ff6ca8c1813ecce34403814c8668c25bd4e038d0b7a7711c,up
2025-12-12T22:51:48,1765579908,YES,0.225,10.0,2.25,1000.0480320000001,1105.899986,1037.684074999999,-37.636042999998836,0xcd93d178d59cbe757f90dc38599872d45a8f4c2be179c7ab83ff96881aec7cc9,up
2025-12-12T22:51:48,1765579908,YES,0.23,5.0,1.1500000000000001,1005.0480320000001,1105.899986,1038.834074999999,-33.78604299999893,0xd551b014af59215f3e3c02c9ca449b29c8cd18200e1a22e63beffae5930a34e6,up
2025-12-12T22:51:48,1765579908,YES,0.22,5.0,1.1,1010.0480320000001,1105.899986,1039.934074999999,-29.886042999998836,0x678b807f12951f6ce938288b3276f1bad09cd4aba80f80bed4847bcfcd2cdc4f,up
2025-12-12T22:51:48,1765579908,YES,0.23,6.0,1.3800000000000001,1016.0480320000001,1105.899986,1041.314074999999,-25.266042999998945,0x77c49ad686c58fb62399f87ebe8d65c1acfc049ac74495b4d454400a9fd462c0,up
2025-12-12T22:51:48,1765579908,NO,0.78,278.48,217.2144,1016.0480320000001,1384.379986,1258.5284749999992,-242.480442999999,0xe89ff9eb803fdb73d5099369dbcb4fd330f4b54acdf06c894b4830abd847b54c,down
2025-12-12T22:51:50,1765579910,YES,0.23,10.0,2.3000000000000003,1026.0480320000001,1384.379986,1260.8284749999991,-234.78044299999897,0x2eeef6bc4f59ddd5400da905e1523ae6e3bdfcb1efe53d1ee69117f0fd873933,up
2025-12-12T22:51:50,1765579910,YES,0.23,10.0,2.3000000000000003,1036.0480320000001,1384.379986,1263.128474999999,-227.08044299999892,0xda1ecce5f9c7a65fd9285f182bfc466d95d7dcaf65db57410f208a96e69385fb,up
2025-12-12T22:51:52,1765579912,YES,0.2299999531067905,13.434781,3.0899989999999997,1049.482813,1384.379986,1266.218473999999,-216.73566099999903,0x1d0a40c2de3898f15d38826684b55230d79db6855bdd71cd893d0f0dfafe6caa,up
2025-12-12T22:51:52,1765579912,YES,0.2299999589501278,16.565216,3.809999,1066.048029,1384.379986,1270.0284729999992,-203.98044399999912,0x1374114569f7017403a74e0bc8d79884145e347d5dfed209f86d7335ae740767,up
