timestamp,dt,slug,state,best_bid_yes,best_ask_yes,best_bid_no,best_ask_no,q_yes,q_no,fills_yes,fills_no,exposure,mtm_pnl,lock_pnl,decision,time_rem,btc_price,btc_delta,btc_conf,btc_bias,fair_yes,fair_no
1765744636,2025-12-14 21:37:16,btc-updown-15m-1765744200,IDLE,0.34,0.37,0.64,0.67,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,465,88663.55,0.0,0.0,NEUTRAL,0.345,0.649
1765744641,2025-12-14 21:37:21,btc-updown-15m-1765744200,IDLE,0.41,0.51,0.46,0.49,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,460,88663.55,0.0,0.0,NEUTRAL,0.424,0.464
1765744644,2025-12-14 21:37:24,btc-updown-15m-1765744200,IDLE,0.53,0.55,0.46,0.47,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,456,88678.71,0.0,0.0,NEUTRAL,0.531,0.47
1765744648,2025-12-14 21:37:28,btc-updown-15m-1765744200,IDLE,0.53,0.54,0.46,0.47,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,453,88678.71,0.0,0.0,NEUTRAL,0.537,0.461
1765744653,2025-12-14 21:37:33,btc-updown-15m-1765744200,IDLE,0.53,0.54,0.46,0.47,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,447,88678.71,0.0,0.0,NEUTRAL,0.539,0.462
1765744656,2025-12-14 21:37:36,btc-updown-15m-1765744200,IDLE,0.65,0.66,0.33,0.34,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,444,88680.18,0.0,0.0,NEUTRAL,0.656,0.338
1765744660,2025-12-14 21:37:40,btc-updown-15m-1765744200,IDLE,0.7,0.71,0.29,0.3,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,441,88680.18,0.0,0.0,NEUTRAL,0.7,0.3
1765744666,2025-12-14 21:37:46,btc-updown-15m-1765744200,IDLE,0.68,0.69,0.31,0.32,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,435,88714.13,0.0,0.0,NEUTRAL,0.684,0.312
1765744670,2025-12-14 21:37:50,btc-updown-15m-1765744200,IDLE,0.68,0.69,0.31,0.32,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,431,88714.13,0.0,0.0,NEUTRAL,0.69,0.31
1765744673,2025-12-14 21:37:53,btc-updown-15m-1765744200,IDLE,0.7,0.72,0.28,0.3,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,427,88714.13,0.0,0.0,NEUTRAL,0.703,0.297
1765744679,2025-12-14 21:37:59,btc-updown-15m-1765744200,IDLE,0.7,0.72,0.28,0.3,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,422,88720.41,0.0,0.0,NEUTRAL,0.71,0.289
1765744682,2025-12-14 21:38:02,btc-updown-15m-1765744200,IDLE,0.67,0.68,0.31,0.34,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,418,88720.41,0.0,0.0,NEUTRAL,0.677,0.313
1765744686,2025-12-14 21:38:06,btc-updown-15m-1765744200,IDLE,0.66,0.67,0.33,0.34,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,414,88720.41,0.0,0.0,NEUTRAL,0.67,0.33
1765744691,2025-12-14 21:38:11,btc-updown-15m-1765744200,IDLE,0.67,0.69,0.31,0.32,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,409,88709.57,0.0,0.0,NEUTRAL,0.671,0.312
1765744695,2025-12-14 21:38:15,btc-updown-15m-1765744200,IDLE,0.71,0.72,0.28,0.29,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,405,88709.57,0.0,0.0,NEUTRAL,0.711,0.288
1765744699,2025-12-14 21:38:19,btc-updown-15m-1765744200,IDLE,0.72,0.73,0.27,0.28,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,402,88709.57,0.0,0.0,NEUTRAL,0.728,0.27
1765744704,2025-12-14 21:38:24,btc-updown-15m-1765744200,IDLE,0.74,0.76,0.26,0.27,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,397,88717.97,0.0,0.0,NEUTRAL,0.747,0.261
1765744707,2025-12-14 21:38:27,btc-updown-15m-1765744200,IDLE,0.74,0.76,0.24,0.26,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,393,88717.97,0.0,0.0,NEUTRAL,0.752,0.241
1765744711,2025-12-14 21:38:31,btc-updown-15m-1765744200,IDLE,0.74,0.75,0.26,0.27,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,389,88717.97,0.0,0.0,NEUTRAL,0.741,0.262
1765744716,2025-12-14 21:38:36,btc-updown-15m-1765744200,IDLE,0.77,0.79,0.21,0.23,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,384,88731.68,0.0,0.0,NEUTRAL,0.772,0.229
1765744720,2025-12-14 21:38:40,btc-updown-15m-1765744200,IDLE,0.79,0.8,0.2,0.21,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,380,88731.68,0.0,0.0,NEUTRAL,0.79,0.21
